
================================================================================
[2026-09-08 07:15:06] Starting GeoMind Continuous Memory Monitor (Interval: 10s)
================================================================================
[2026-09-08 07:15:06] Hooked geomind PID 22392 | Initial WS: 111.55 MB | Initial Commit: 113.16 MB
[2026-09-08 07:15:07] PID: 22392 | WS: 111.55 MB (dWS: 0 MB) | Commit: 113.16 MB (dPM: 0 MB) | VM: 4321.21 MB | CPU: 126.2s | SysFreeVM: 103735 MB | Ckpt: 50MB at 07:14:26
[2026-09-08 10:03:57] PID: 22392 | WS: 113.82 MB (dWS: 2.27 MB) | Commit: 115.35 MB (dPM: 2.19 MB) | VM: 4321.21 MB | CPU: 10183.6s | SysFreeVM: 104150 MB | No ckpt change
[2026-09-08 10:04:08] PID: 22392 | WS: 113.82 MB (dWS: 2.27 MB) | Commit: 115.35 MB (dPM: 2.19 MB) | VM: 4321.21 MB | CPU: 10193.7s | SysFreeVM: 104108 MB | Ckpt: 50MB at 10:04:05
[2026-09-08 10:04:18] PID: 22392 | WS: 113.82 MB (dWS: 2.27 MB) | Commit: 115.35 MB (dPM: 2.19 MB) | VM: 4321.21 MB | CPU: 10203.8s | SysFreeVM: 104124 MB | No ckpt change
[2026-09-08 10:04:28] PID: 22392 | WS: 113.82 MB (dWS: 2.27 MB) | Commit: 115.35 MB (dPM: 2.19 MB) | VM: 4321.21 MB | CPU: 10214s | SysFreeVM: 104090 MB | No ckpt change
[2026-09-08 10:04:38] PID: 22392 | WS: 113.82 MB (dWS: 2.27 MB) | Commit: 115.35 MB (dPM: 2.19 MB) | VM: 4321.21 MB | CPU: 10224.1s | SysFreeVM: 104107 MB | No ckpt change
[2026-09-08 10:04:49] PID: 22392 | WS: 113.84 MB (dWS: 2.29 MB) | Commit: 115.35 MB (dPM: 2.19 MB) | VM: 4321.21 MB | CPU: 10234.3s | SysFreeVM: 104139 MB | Ckpt: 50MB at 10:04:47
[2026-09-08 10:04:59] PID: 22392 | WS: 113.84 MB (dWS: 2.29 MB) | Commit: 115.35 MB (dPM: 2.19 MB) | VM: 4321.21 MB | CPU: 10244.5s | SysFreeVM: 104138 MB | No ckpt change
[2026-09-08 10:05:09] PID: 22392 | WS: 113.84 MB (dWS: 2.29 MB) | Commit: 115.35 MB (dPM: 2.19 MB) | VM: 4321.21 MB | CPU: 10254.7s | SysFreeVM: 104146 MB | No ckpt change
[2026-09-08 10:05:19] PID: 22392 | WS: 113.84 MB (dWS: 2.29 MB) | Commit: 115.35 MB (dPM: 2.19 MB) | VM: 4321.21 MB | CPU: 10264.9s | SysFreeVM: 104133 MB | No ckpt change
[2026-09-08 10:05:30] PID: 22392 | WS: 113.84 MB (dWS: 2.29 MB) | Commit: 115.35 MB (dPM: 2.19 MB) | VM: 4321.21 MB | CPU: 10275.1s | SysFreeVM: 104117 MB | Ckpt: 50MB at 10:05:29
[2026-09-08 10:05:40] PID: 22392 | WS: 113.84 MB (dWS: 2.29 MB) | Commit: 115.35 MB (dPM: 2.19 MB) | VM: 4321.21 MB | CPU: 10285.3s | SysFreeVM: 104119 MB | No ckpt change
[2026-09-08 10:05:50] PID: 22392 | WS: 113.84 MB (dWS: 2.29 MB) | Commit: 115.35 MB (dPM: 2.19 MB) | VM: 4321.21 MB | CPU: 10295.5s | SysFreeVM: 104119 MB | No ckpt change
[2026-09-08 10:06:00] PID: 22392 | WS: 113.84 MB (dWS: 2.29 MB) | Commit: 115.35 MB (dPM: 2.19 MB) | VM: 4321.21 MB | CPU: 10305.7s | SysFreeVM: 104151 MB | No ckpt change
[2026-09-08 10:06:11] PID: 22392 | WS: 113.84 MB (dWS: 2.29 MB) | Commit: 115.35 MB (dPM: 2.19 MB) | VM: 4321.21 MB | CPU: 10315.8s | SysFreeVM: 104131 MB | No ckpt change
[2026-09-08 10:06:21] PID: 22392 | WS: 113.84 MB (dWS: 2.29 MB) | Commit: 115.35 MB (dPM: 2.19 MB) | VM: 4321.21 MB | CPU: 10326s | SysFreeVM: 104152 MB | Ckpt: 50MB at 10:06:11
[2026-09-08 10:06:31] PID: 22392 | WS: 113.84 MB (dWS: 2.29 MB) | Commit: 115.35 MB (dPM: 2.19 MB) | VM: 4321.21 MB | CPU: 10336.2s | SysFreeVM: 104118 MB | No ckpt change
[2026-09-08 10:06:41] PID: 22392 | WS: 113.84 MB (dWS: 2.29 MB) | Commit: 115.35 MB (dPM: 2.19 MB) | VM: 4321.21 MB | CPU: 10346.4s | SysFreeVM: 104129 MB | No ckpt change
[2026-09-08 10:06:52] PID: 22392 | WS: 113.84 MB (dWS: 2.29 MB) | Commit: 115.35 MB (dPM: 2.19 MB) | VM: 4321.21 MB | CPU: 10356.6s | SysFreeVM: 104114 MB | No ckpt change
[2026-09-08 10:07:02] PID: 22392 | WS: 113.89 MB (dWS: 2.34 MB) | Commit: 115.42 MB (dPM: 2.26 MB) | VM: 4321.21 MB | CPU: 10366.7s | SysFreeVM: 104107 MB | Ckpt: 50MB at 10:06:53
[2026-09-08 10:07:12] PID: 22392 | WS: 113.89 MB (dWS: 2.34 MB) | Commit: 115.42 MB (dPM: 2.26 MB) | VM: 4321.21 MB | CPU: 10376.9s | SysFreeVM: 104140 MB | No ckpt change
[2026-09-08 10:07:22] PID: 22392 | WS: 113.89 MB (dWS: 2.34 MB) | Commit: 115.42 MB (dPM: 2.26 MB) | VM: 4321.21 MB | CPU: 10387.1s | SysFreeVM: 104121 MB | No ckpt change
[2026-09-08 10:07:32] PID: 22392 | WS: 113.89 MB (dWS: 2.34 MB) | Commit: 115.42 MB (dPM: 2.26 MB) | VM: 4321.21 MB | CPU: 10397.3s | SysFreeVM: 104121 MB | No ckpt change
[2026-09-08 10:07:43] PID: 22392 | WS: 113.89 MB (dWS: 2.34 MB) | Commit: 115.42 MB (dPM: 2.26 MB) | VM: 4321.21 MB | CPU: 10407.5s | SysFreeVM: 104100 MB | Ckpt: 50MB at 10:07:35
[2026-09-08 10:07:53] PID: 22392 | WS: 113.89 MB (dWS: 2.34 MB) | Commit: 115.42 MB (dPM: 2.26 MB) | VM: 4321.21 MB | CPU: 10417.5s | SysFreeVM: 104091 MB | No ckpt change
[2026-09-08 10:08:03] PID: 22392 | WS: 113.89 MB (dWS: 2.34 MB) | Commit: 115.42 MB (dPM: 2.26 MB) | VM: 4321.21 MB | CPU: 10427.7s | SysFreeVM: 104099 MB | No ckpt change
[2026-09-08 10:08:13] PID: 22392 | WS: 113.89 MB (dWS: 2.34 MB) | Commit: 115.42 MB (dPM: 2.26 MB) | VM: 4321.21 MB | CPU: 10437.9s | SysFreeVM: 104115 MB | No ckpt change
[2026-09-08 10:08:24] PID: 22392 | WS: 113.91 MB (dWS: 2.36 MB) | Commit: 115.42 MB (dPM: 2.26 MB) | VM: 4321.21 MB | CPU: 10448s | SysFreeVM: 104148 MB | Ckpt: 50MB at 10:08:17
[2026-09-08 10:08:34] PID: 22392 | WS: 113.91 MB (dWS: 2.36 MB) | Commit: 115.42 MB (dPM: 2.26 MB) | VM: 4321.21 MB | CPU: 10458.2s | SysFreeVM: 104136 MB | No ckpt change
[2026-09-08 10:08:44] PID: 22392 | WS: 113.91 MB (dWS: 2.36 MB) | Commit: 115.42 MB (dPM: 2.26 MB) | VM: 4321.21 MB | CPU: 10468.4s | SysFreeVM: 104098 MB | No ckpt change
[2026-09-08 10:08:54] PID: 22392 | WS: 113.91 MB (dWS: 2.36 MB) | Commit: 115.42 MB (dPM: 2.26 MB) | VM: 4321.21 MB | CPU: 10478.5s | SysFreeVM: 104111 MB | No ckpt change
[2026-09-08 10:09:05] PID: 22392 | WS: 113.91 MB (dWS: 2.36 MB) | Commit: 115.42 MB (dPM: 2.26 MB) | VM: 4321.21 MB | CPU: 10488.7s | SysFreeVM: 104075 MB | Ckpt: 50MB at 10:08:59
[2026-09-08 10:09:15] PID: 22392 | WS: 113.91 MB (dWS: 2.36 MB) | Commit: 115.42 MB (dPM: 2.26 MB) | VM: 4321.21 MB | CPU: 10498.8s | SysFreeVM: 104068 MB | No ckpt change
[2026-09-08 10:09:25] PID: 22392 | WS: 113.91 MB (dWS: 2.36 MB) | Commit: 115.42 MB (dPM: 2.26 MB) | VM: 4321.21 MB | CPU: 10508.9s | SysFreeVM: 104123 MB | No ckpt change
[2026-09-08 10:09:35] PID: 22392 | WS: 113.91 MB (dWS: 2.36 MB) | Commit: 115.42 MB (dPM: 2.26 MB) | VM: 4321.21 MB | CPU: 10519s | SysFreeVM: 104125 MB | No ckpt change
[2026-09-08 10:09:46] PID: 22392 | WS: 113.92 MB (dWS: 2.37 MB) | Commit: 115.42 MB (dPM: 2.26 MB) | VM: 4321.21 MB | CPU: 10529.1s | SysFreeVM: 104108 MB | Ckpt: 50MB at 10:09:41
[2026-09-08 10:09:56] PID: 22392 | WS: 113.92 MB (dWS: 2.37 MB) | Commit: 115.42 MB (dPM: 2.26 MB) | VM: 4321.21 MB | CPU: 10539.3s | SysFreeVM: 104110 MB | No ckpt change
[2026-09-08 10:10:06] PID: 22392 | WS: 113.92 MB (dWS: 2.37 MB) | Commit: 115.42 MB (dPM: 2.26 MB) | VM: 4321.21 MB | CPU: 10549.5s | SysFreeVM: 104103 MB | No ckpt change
[2026-09-08 10:10:16] PID: 22392 | WS: 113.92 MB (dWS: 2.37 MB) | Commit: 115.42 MB (dPM: 2.26 MB) | VM: 4321.21 MB | CPU: 10559.7s | SysFreeVM: 104072 MB | No ckpt change
[2026-09-08 10:10:27] PID: 22392 | WS: 113.92 MB (dWS: 2.37 MB) | Commit: 115.42 MB (dPM: 2.26 MB) | VM: 4321.21 MB | CPU: 10569.9s | SysFreeVM: 104056 MB | Ckpt: 50MB at 10:10:23
[2026-09-08 10:10:37] PID: 22392 | WS: 113.92 MB (dWS: 2.37 MB) | Commit: 115.42 MB (dPM: 2.26 MB) | VM: 4321.21 MB | CPU: 10580s | SysFreeVM: 104099 MB | No ckpt change
[2026-09-08 10:10:47] PID: 22392 | WS: 113.92 MB (dWS: 2.37 MB) | Commit: 115.42 MB (dPM: 2.26 MB) | VM: 4321.21 MB | CPU: 10590.1s | SysFreeVM: 104094 MB | No ckpt change
[2026-09-08 10:10:57] PID: 22392 | WS: 113.92 MB (dWS: 2.37 MB) | Commit: 115.42 MB (dPM: 2.26 MB) | VM: 4321.21 MB | CPU: 10600.3s | SysFreeVM: 104101 MB | No ckpt change
[2026-09-08 10:11:08] PID: 22392 | WS: 113.95 MB (dWS: 2.4 MB) | Commit: 115.42 MB (dPM: 2.26 MB) | VM: 4321.21 MB | CPU: 10610.5s | SysFreeVM: 104092 MB | Ckpt: 50MB at 10:11:05
[2026-09-08 10:11:18] PID: 22392 | WS: 113.95 MB (dWS: 2.4 MB) | Commit: 115.42 MB (dPM: 2.26 MB) | VM: 4321.21 MB | CPU: 10620.7s | SysFreeVM: 104092 MB | No ckpt change
[2026-09-08 10:11:28] PID: 22392 | WS: 113.95 MB (dWS: 2.4 MB) | Commit: 115.42 MB (dPM: 2.26 MB) | VM: 4321.21 MB | CPU: 10630.9s | SysFreeVM: 104085 MB | No ckpt change
[2026-09-08 10:11:38] PID: 22392 | WS: 113.95 MB (dWS: 2.4 MB) | Commit: 115.42 MB (dPM: 2.26 MB) | VM: 4321.21 MB | CPU: 10641s | SysFreeVM: 104111 MB | No ckpt change
[2026-09-08 10:11:49] PID: 22392 | WS: 113.95 MB (dWS: 2.4 MB) | Commit: 115.42 MB (dPM: 2.26 MB) | VM: 4321.21 MB | CPU: 10651.2s | SysFreeVM: 104136 MB | Ckpt: 50MB at 10:11:47
[2026-09-08 10:11:59] PID: 22392 | WS: 113.95 MB (dWS: 2.4 MB) | Commit: 115.42 MB (dPM: 2.26 MB) | VM: 4321.21 MB | CPU: 10661.4s | SysFreeVM: 104105 MB | No ckpt change
[2026-09-08 10:12:09] PID: 22392 | WS: 113.95 MB (dWS: 2.4 MB) | Commit: 115.42 MB (dPM: 2.26 MB) | VM: 4321.21 MB | CPU: 10671.6s | SysFreeVM: 104073 MB | No ckpt change
[2026-09-08 10:12:19] PID: 22392 | WS: 113.95 MB (dWS: 2.4 MB) | Commit: 115.42 MB (dPM: 2.26 MB) | VM: 4321.21 MB | CPU: 10681.8s | SysFreeVM: 104075 MB | No ckpt change
[2026-09-08 10:12:30] PID: 22392 | WS: 113.95 MB (dWS: 2.4 MB) | Commit: 115.42 MB (dPM: 2.26 MB) | VM: 4321.21 MB | CPU: 10692s | SysFreeVM: 104067 MB | No ckpt change
[2026-09-08 10:12:40] PID: 22392 | WS: 113.98 MB (dWS: 2.43 MB) | Commit: 115.48 MB (dPM: 2.32 MB) | VM: 4321.21 MB | CPU: 10702.2s | SysFreeVM: 104061 MB | Ckpt: 50MB at 10:12:30
[2026-09-08 10:12:50] PID: 22392 | WS: 113.98 MB (dWS: 2.43 MB) | Commit: 115.48 MB (dPM: 2.32 MB) | VM: 4321.21 MB | CPU: 10712.4s | SysFreeVM: 104097 MB | No ckpt change
[2026-09-08 10:13:00] PID: 22392 | WS: 113.98 MB (dWS: 2.43 MB) | Commit: 115.48 MB (dPM: 2.32 MB) | VM: 4321.21 MB | CPU: 10722.6s | SysFreeVM: 104112 MB | No ckpt change
[2026-09-08 10:13:11] PID: 22392 | WS: 113.98 MB (dWS: 2.43 MB) | Commit: 115.48 MB (dPM: 2.32 MB) | VM: 4321.21 MB | CPU: 10732.8s | SysFreeVM: 104104 MB | No ckpt change
[2026-09-08 10:13:21] PID: 22392 | WS: 113.98 MB (dWS: 2.43 MB) | Commit: 115.48 MB (dPM: 2.32 MB) | VM: 4321.21 MB | CPU: 10742.9s | SysFreeVM: 104118 MB | Ckpt: 50MB at 10:13:12
[2026-09-08 10:13:31] PID: 22392 | WS: 113.98 MB (dWS: 2.43 MB) | Commit: 115.48 MB (dPM: 2.32 MB) | VM: 4321.21 MB | CPU: 10753.2s | SysFreeVM: 104089 MB | No ckpt change
[2026-09-08 10:13:41] PID: 22392 | WS: 113.98 MB (dWS: 2.43 MB) | Commit: 115.48 MB (dPM: 2.32 MB) | VM: 4321.21 MB | CPU: 10763.4s | SysFreeVM: 104084 MB | No ckpt change
[2026-09-08 10:13:52] PID: 22392 | WS: 113.98 MB (dWS: 2.43 MB) | Commit: 115.48 MB (dPM: 2.32 MB) | VM: 4321.21 MB | CPU: 10773.7s | SysFreeVM: 104134 MB | No ckpt change
[2026-09-08 10:14:02] PID: 22392 | WS: 113.98 MB (dWS: 2.43 MB) | Commit: 115.48 MB (dPM: 2.32 MB) | VM: 4321.21 MB | CPU: 10783.8s | SysFreeVM: 104114 MB | Ckpt: 50MB at 10:13:54
[2026-09-08 10:14:12] PID: 22392 | WS: 113.98 MB (dWS: 2.43 MB) | Commit: 115.48 MB (dPM: 2.32 MB) | VM: 4321.21 MB | CPU: 10794s | SysFreeVM: 104095 MB | No ckpt change
[2026-09-08 10:14:22] PID: 22392 | WS: 113.98 MB (dWS: 2.43 MB) | Commit: 115.48 MB (dPM: 2.32 MB) | VM: 4321.21 MB | CPU: 10804.1s | SysFreeVM: 104076 MB | No ckpt change
[2026-09-08 10:14:33] PID: 22392 | WS: 113.98 MB (dWS: 2.43 MB) | Commit: 115.48 MB (dPM: 2.32 MB) | VM: 4321.21 MB | CPU: 10814.2s | SysFreeVM: 104088 MB | No ckpt change
[2026-09-08 10:14:43] PID: 22392 | WS: 113.98 MB (dWS: 2.43 MB) | Commit: 115.48 MB (dPM: 2.32 MB) | VM: 4321.21 MB | CPU: 10824.3s | SysFreeVM: 104071 MB | Ckpt: 50MB at 10:14:36
[2026-09-08 10:14:53] PID: 22392 | WS: 113.98 MB (dWS: 2.43 MB) | Commit: 115.48 MB (dPM: 2.32 MB) | VM: 4321.21 MB | CPU: 10834.4s | SysFreeVM: 104085 MB | No ckpt change
[2026-09-08 10:15:03] PID: 22392 | WS: 113.98 MB (dWS: 2.43 MB) | Commit: 115.48 MB (dPM: 2.32 MB) | VM: 4321.21 MB | CPU: 10844.5s | SysFreeVM: 104097 MB | No ckpt change
[2026-09-08 10:15:14] PID: 22392 | WS: 113.98 MB (dWS: 2.43 MB) | Commit: 115.48 MB (dPM: 2.32 MB) | VM: 4321.21 MB | CPU: 10854.7s | SysFreeVM: 104134 MB | No ckpt change
[2026-09-08 10:15:24] PID: 22392 | WS: 114.05 MB (dWS: 2.5 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 10864.8s | SysFreeVM: 104123 MB | Ckpt: 50MB at 10:15:18
[2026-09-08 10:15:34] PID: 22392 | WS: 114.05 MB (dWS: 2.5 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 10875.1s | SysFreeVM: 104125 MB | No ckpt change
[2026-09-08 10:15:44] PID: 22392 | WS: 114.05 MB (dWS: 2.5 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 10885.3s | SysFreeVM: 104111 MB | No ckpt change
[2026-09-08 10:15:55] PID: 22392 | WS: 114.05 MB (dWS: 2.5 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 10895.5s | SysFreeVM: 104089 MB | No ckpt change
[2026-09-08 10:16:05] PID: 22392 | WS: 114.07 MB (dWS: 2.52 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 10905.7s | SysFreeVM: 104077 MB | Ckpt: 50MB at 10:16:00
[2026-09-08 10:16:15] PID: 22392 | WS: 114.07 MB (dWS: 2.52 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 10915.9s | SysFreeVM: 104091 MB | No ckpt change
[2026-09-08 10:16:25] PID: 22392 | WS: 114.07 MB (dWS: 2.52 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 10926s | SysFreeVM: 104127 MB | No ckpt change
[2026-09-08 10:16:35] PID: 22392 | WS: 114.07 MB (dWS: 2.52 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 10936.1s | SysFreeVM: 104145 MB | No ckpt change
[2026-09-08 10:16:46] PID: 22392 | WS: 114.07 MB (dWS: 2.52 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 10946.3s | SysFreeVM: 104102 MB | Ckpt: 50MB at 10:16:42
[2026-09-08 10:16:56] PID: 22392 | WS: 114.07 MB (dWS: 2.52 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 10956.5s | SysFreeVM: 104120 MB | No ckpt change
[2026-09-08 10:17:06] PID: 22392 | WS: 114.07 MB (dWS: 2.52 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 10966.7s | SysFreeVM: 104108 MB | No ckpt change
[2026-09-08 10:17:16] PID: 22392 | WS: 114.07 MB (dWS: 2.52 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 10976.9s | SysFreeVM: 104101 MB | No ckpt change
[2026-09-08 10:17:27] PID: 22392 | WS: 114.07 MB (dWS: 2.52 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 10987s | SysFreeVM: 104039 MB | Ckpt: 50MB at 10:17:24
[2026-09-08 10:17:37] PID: 22392 | WS: 114.07 MB (dWS: 2.52 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 10997.1s | SysFreeVM: 104034 MB | No ckpt change
[2026-09-08 10:17:47] PID: 22392 | WS: 114.07 MB (dWS: 2.52 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 11007.3s | SysFreeVM: 104095 MB | No ckpt change
[2026-09-08 10:17:57] PID: 22392 | WS: 114.07 MB (dWS: 2.52 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 11017.5s | SysFreeVM: 104099 MB | No ckpt change
[2026-09-08 10:18:08] PID: 22392 | WS: 114.07 MB (dWS: 2.52 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 11027.7s | SysFreeVM: 104112 MB | Ckpt: 50MB at 10:18:06
[2026-09-08 10:18:18] PID: 22392 | WS: 114.07 MB (dWS: 2.52 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 11037.9s | SysFreeVM: 104108 MB | No ckpt change
[2026-09-08 10:18:28] PID: 22392 | WS: 114.07 MB (dWS: 2.52 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 11048.1s | SysFreeVM: 104076 MB | No ckpt change
[2026-09-08 10:18:38] PID: 22392 | WS: 114.07 MB (dWS: 2.52 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 11058.3s | SysFreeVM: 104092 MB | No ckpt change
[2026-09-08 10:18:49] PID: 22392 | WS: 114.07 MB (dWS: 2.52 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 11068.5s | SysFreeVM: 104087 MB | Ckpt: 50MB at 10:18:48
[2026-09-08 10:18:59] PID: 22392 | WS: 114.07 MB (dWS: 2.52 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 11078.6s | SysFreeVM: 104115 MB | No ckpt change
[2026-09-08 10:19:09] PID: 22392 | WS: 114.07 MB (dWS: 2.52 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 11088.8s | SysFreeVM: 104140 MB | No ckpt change
[2026-09-08 10:19:19] PID: 22392 | WS: 114.07 MB (dWS: 2.52 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 11099s | SysFreeVM: 104095 MB | No ckpt change
[2026-09-08 10:19:30] PID: 22392 | WS: 114.07 MB (dWS: 2.52 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 11109.2s | SysFreeVM: 104092 MB | No ckpt change
[2026-09-08 10:19:40] PID: 22392 | WS: 114.07 MB (dWS: 2.52 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 11119.2s | SysFreeVM: 104086 MB | Ckpt: 50MB at 10:19:30
[2026-09-08 10:19:50] PID: 22392 | WS: 114.07 MB (dWS: 2.52 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 11129.5s | SysFreeVM: 104077 MB | No ckpt change
[2026-09-08 10:20:00] PID: 22392 | WS: 114.07 MB (dWS: 2.52 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 11139.6s | SysFreeVM: 104108 MB | No ckpt change
[2026-09-08 10:20:11] PID: 22392 | WS: 114.07 MB (dWS: 2.52 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 11149.8s | SysFreeVM: 104118 MB | No ckpt change
[2026-09-08 10:20:21] PID: 22392 | WS: 114.07 MB (dWS: 2.52 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 11160s | SysFreeVM: 104106 MB | Ckpt: 50MB at 10:20:12
[2026-09-08 10:20:31] PID: 22392 | WS: 114.07 MB (dWS: 2.52 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 11170.2s | SysFreeVM: 104107 MB | No ckpt change
[2026-09-08 10:20:41] PID: 22392 | WS: 114.07 MB (dWS: 2.52 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 11180.4s | SysFreeVM: 104106 MB | No ckpt change
[2026-09-08 10:20:52] PID: 22392 | WS: 114.07 MB (dWS: 2.52 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 11190.6s | SysFreeVM: 104091 MB | No ckpt change
[2026-09-08 10:21:02] PID: 22392 | WS: 114.07 MB (dWS: 2.52 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 11200.7s | SysFreeVM: 104051 MB | Ckpt: 50MB at 10:20:54
[2026-09-08 10:21:12] PID: 22392 | WS: 114.07 MB (dWS: 2.52 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 11210.9s | SysFreeVM: 104147 MB | No ckpt change
[2026-09-08 10:21:22] PID: 22392 | WS: 114.07 MB (dWS: 2.52 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 11221.1s | SysFreeVM: 104106 MB | No ckpt change
[2026-09-08 10:21:32] PID: 22392 | WS: 114.07 MB (dWS: 2.52 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 11231.1s | SysFreeVM: 104116 MB | No ckpt change
[2026-09-08 10:21:43] PID: 22392 | WS: 114.07 MB (dWS: 2.52 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 11241.2s | SysFreeVM: 104087 MB | Ckpt: 50MB at 10:21:36
[2026-09-08 10:21:53] PID: 22392 | WS: 114.07 MB (dWS: 2.52 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 11251.3s | SysFreeVM: 104102 MB | No ckpt change
[2026-09-08 10:22:03] PID: 22392 | WS: 114.07 MB (dWS: 2.52 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 11261.3s | SysFreeVM: 104102 MB | No ckpt change
[2026-09-08 10:22:13] PID: 22392 | WS: 114.07 MB (dWS: 2.52 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 11271.5s | SysFreeVM: 104083 MB | No ckpt change
[2026-09-08 10:22:24] PID: 22392 | WS: 114.08 MB (dWS: 2.53 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 11281.6s | SysFreeVM: 104100 MB | Ckpt: 50MB at 10:22:18
[2026-09-08 10:22:34] PID: 22392 | WS: 114.08 MB (dWS: 2.53 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 11291.8s | SysFreeVM: 104106 MB | No ckpt change
[2026-09-08 10:22:44] PID: 22392 | WS: 114.08 MB (dWS: 2.53 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 11302s | SysFreeVM: 104076 MB | No ckpt change
[2026-09-08 10:22:54] PID: 22392 | WS: 114.08 MB (dWS: 2.53 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 11312.2s | SysFreeVM: 104071 MB | No ckpt change
[2026-09-08 10:23:05] PID: 22392 | WS: 114.08 MB (dWS: 2.53 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 11322.2s | SysFreeVM: 104061 MB | Ckpt: 50MB at 10:23:00
[2026-09-08 10:23:15] PID: 22392 | WS: 114.08 MB (dWS: 2.53 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 11332.3s | SysFreeVM: 104078 MB | No ckpt change
[2026-09-08 10:23:25] PID: 22392 | WS: 114.08 MB (dWS: 2.53 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 11342.5s | SysFreeVM: 104050 MB | No ckpt change
[2026-09-08 10:23:35] PID: 22392 | WS: 114.08 MB (dWS: 2.53 MB) | Commit: 115.55 MB (dPM: 2.39 MB) | VM: 4321.21 MB | CPU: 11352.8s | SysFreeVM: 104043 MB | No ckpt change
